run_date,label,ent_sf_pct,ent_bldg_pct,ent_in_scope,ent_clean,ent_total_sf,ent_clean_sf,ent_actions,ent_add,ent_remove,ent_update,ent_dup_bldgs,ent_banner_only,blue_ridge_sf_pct,blue_ridge_bldg_pct,blue_ridge_actions,blue_ridge_dup_bldgs,cumming_sf_pct,cumming_bldg_pct,cumming_actions,cumming_dup_bldgs,dahlonega_sf_pct,dahlonega_bldg_pct,dahlonega_actions,dahlonega_dup_bldgs,gainesville_sf_pct,gainesville_bldg_pct,gainesville_actions,gainesville_dup_bldgs,oconee_sf_pct,oconee_bldg_pct,oconee_actions,oconee_dup_bldgs
2026-06-01,2026-06-01,99.7,46.2,104,48,2924326,2914266,1226,560,329,337,6,30,100.0,100.0,0,0,100.0,75.0,1,0,99.6,23.1,1170,6,99.6,62.2,54,0,100.0,87.5,1,0
2026-06-15,2026-06-15,99.8,52.9,416,220,11697496,11676388,4663,2219,1225,1219,23,117,100.0,100.0,0,0,100.0,75.0,4,0,99.7,27.4,4566,23,100.0,75.0,89,0,100.0,87.5,4,0
2026-06-22,2026-06-22,99.8,57.1,210,120,5852124,5841570,2055,1004,517,534,7,58,100.0,100.0,0,0,100.0,75.0,2,0,99.7,32.1,2029,7,100.0,81.1,22,0,100.0,87.5,2,0
2026-06-30,2026-06-30,99.8,57.1,105,60,2926062,2920785,1034,508,258,268,2,29,100.0,100.0,0,0,100.0,75.0,1,0,99.7,32.1,1021,2,100.0,81.1,11,0,100.0,87.5,1,0
2026-07-13,2026-07-13,99.8,56.6,106,60,2932454,2927177,1044,509,258,277,1,28,100.0,100.0,0,0,100.0,75.0,1,0,99.7,31.5,1031,1,100.0,81.1,11,0,100.0,87.5,1,0
2026-07-30,2026-07-30,99.8,69.8,212,148,5868778,5857868,2066,1069,534,463,2,56,100.0,100.0,0,0,100.0,100.0,0,0,99.7,40.7,2066,2,100.0,100.0,0,0,100.0,100.0,0,0
2026-08-03,2026-08-03,99.8,72.6,106,77,2934389,2929148,802,478,233,91,1,28,100.0,100.0,0,0,100.0,100.0,0,0,99.7,46.3,802,1,100.0,100.0,0,0,100.0,100.0,0,0
2026-08-06,2026-08-06,99.8,87.9,107,94,3001148,2994988,682,462,209,11,0,26,100.0,100.0,0,0,100.0,100.0,0,0,99.7,76.4,682,0,100.0,100.0,0,0,100.0,100.0,0,0
2026-08-07,2026-08-07,99.8,87.9,107,94,3001148,2994988,682,462,209,11,0,26,100.0,100.0,0,0,100.0,100.0,0,0,99.7,76.4,682,0,100.0,100.0,0,0,100.0,100.0,0,0
2026-08-10,2026-08-10,99.8,86.9,107,93,3001473,2995313,694,468,212,14,0,26,100.0,100.0,0,0,100.0,100.0,0,0,99.7,74.5,694,0,100.0,100.0,0,0,100.0,100.0,0,0
